datetime	Q_Res_R	Q_Res_S
2017-07-13	7.0949328212121205	7.484476054035152
2017-07-14	7.224800298685782	7.502044077657407
2017-07-15	7.427353592461721	7.537350357311247
2017-07-16	7.6341505807200924	7.58717470090215
2017-07-17	7.7857614261168395	7.611987395484536
2017-07-18	7.899873525423729	7.614843740132486
2017-07-19	7.999740629877369	7.64274351516388
2017-07-20	8.092951993949395	7.669164839192519
2017-07-21	8.117871443748298	7.640128024392808
2017-07-22	8.089559986379733	7.549848147647236
2017-07-23	8.127347262326342	7.494299257029692
2017-07-24	8.168163391446473	7.475151141383273
2017-07-25	8.198533877717392	7.495573385424729
2017-07-26	8.211520954935624	7.509269895381974
2017-07-27	8.266708903601694	7.529717456650953
2017-07-28	8.338197068514644	7.556133723506276
2017-07-29	8.41660128873967	7.594072999759813
2017-07-30	8.459233676020409	7.6083892296515305
2017-07-31	8.448234465725807	7.610647429476562
2017-08-01	8.53841672310757	7.776717657209412
2017-08-02	8.64269141798419	7.934689971514822
2017-08-03	8.745296640316205	8.04370790165588
2017-08-04	8.809568750308719	8.100707226010373
2017-08-05	8.827555361817732	8.131979928919733
2017-08-06	8.876764872808101	8.169935885343294
2017-08-07	8.909019101012596	8.22392971691529
2017-08-08	8.924679261546059	8.255229398427513
2017-08-09	8.937568933069892	8.30789081949889
2017-08-10	8.968009320819956	8.372791342047913
2017-08-11	8.975075396394171	8.41937571875994
2017-08-12	9.019244126944924	8.49630565961546
2017-08-13	9.052605596443566	8.522741776770808
2017-08-14	9.04867507038775	8.549946916974067
2017-08-15	9.05066970116078	8.589450959428499
2017-08-16	9.05136721234568	8.601709619194322
2017-08-17	9.061976592592593	8.63902995670173
2017-08-18	9.11317647654321	8.721703772917039
2017-08-19	9.158945254745255	8.776738059905094
2017-08-20	9.24165834934277	8.856091798389029
2017-08-21	9.324610647389969	8.936230606568321
2017-08-22	9.390366681347151	8.999281220656735
2017-08-23	9.466321812696748	9.071355589907396
2017-08-24	9.599623722955146	9.193619419968337
2017-08-25	9.690126565549987	9.232621455745448
2017-08-26	9.799083669216566	9.337160683920073
2017-08-27	9.886638059071728	9.40068810217036
